=========================================================================
 DAFTAR MAHASISWA & ASISTEN LABORATORIUM (PROTOTYPE/DEMONSTRASI)
=========================================================================

INFORMASI LOGIN ADMIN/ASLAB:
- Username: NIM Aslab atau ID Aslab (misal: 201080200015 atau ASLAB-20-01)
- Password: aslab

INFORMASI LOGIN MAHASISWA:
- Username/NIM: Menggunakan NIM masing-masing dari daftar di bawah (Password tidak diperlukan/Auto-login)


-------------------------------------------------------------------------
 ANGKATAN 2020 (80 Mahasiswa)
-------------------------------------------------------------------------
No.   NIM             Nama Lengkap                  Kelas    No. Telp       Status
40    241080200040    Wendy Budiman                 IF-B2    081335868692   MAHASISWA
41    241080200041    Yanto Cahyono                 IF-C2    085679906864   MAHASISWA
42    241080200042    Ahmad Raharjo                 IF-A1    081217450099   MAHASISWA
43    241080200043    Budi Hadi                     IF-B1    082232417097   MAHASISWA
44    241080200044    Citra Hasanah                 IF-C1    085763232662   MAHASISWA
45    241080200045    Dwi Sari                      IF-A2    089920538675   MAHASISWA
46    241080200046    Eko Fauzi                     IF-B2    081325425809   MAHASISWA
47    241080200047    Fajar Wijaya                  IF-C2    085630418005   MAHASISWA
48    241080200048    Gita Siregar                  IF-A1    081292174558   ASISTEN LAB
49    241080200049    Hari Harahap                  IF-B1    082222792516   MAHASISWA
50    241080200050    Indah Hutapea                 IF-C1    085786266801   MAHASISWA
51    241080200051    Joko Panjaitan                IF-A2    089969395419   MAHASISWA
52    241080200052    Kartika Sitorus               IF-B2    081378584049   MAHASISWA
53    241080200053    Lukman Marpaung               IF-C2    085667461637   MAHASISWA
54    241080200054    Mega Ambarita                 IF-A1    081225576406   MAHASISWA
55    241080200055    Nur Sipayung                  IF-B1    082296875489   MAHASISWA
56    241080200056    Ony Sumbayak                  IF-C1    085749663012   MAHASISWA
57    241080200057    Putu Manik                    IF-A2    089989628974   MAHASISWA
58    241080200058    Rian Silaen                   IF-B2    081376842324   ASISTEN LAB
59    241080200059    Siti Sitompul                 IF-C2    085622438223   MAHASISWA
60    241080200060    Teguh Pratama                 IF-A1    081279973880   MAHASISWA
61    241080200061    Utami Wibowo                  IF-B1    082256612397   MAHASISWA
62    241080200062    Vera Gunawan                  IF-C1    085722666618   MAHASISWA
63    241080200063    Wawan Susanto                 IF-A2    089933734941   MAHASISWA
64    241080200064    Yeni Utomo                    IF-B2    081313403684   MAHASISWA
65    241080200065    Zainal Hartono                IF-C2    085662464994   MAHASISWA
66    241080200066    Aditya Fitriani               IF-A1    081210958992   MAHASISWA
67    241080200067    Bayu Rahmawati                IF-B1    082267153520   MAHASISWA
68    241080200068    Candra Hidayah                IF-C1    085730526748   MAHASISWA
69    241080200069    Diana Lestari                 IF-A2    089947283509   MAHASISWA
70    241080200070    Elga Kusuma                   IF-B2    081368805211   MAHASISWA
71    241080200071    Farhan Ginting                IF-C2    085693301935   MAHASISWA
72    241080200072    Guntur Tanjung                IF-A1    081277737671   MAHASISWA
73    241080200073    Hesti Simanjuntak             IF-B1    082211366415   MAHASISWA
74    241080200074    Irma Situmorang               IF-C1    085774906212   MAHASISWA
75    241080200075    Junaedi Nainggolan            IF-A2    089960456323   MAHASISWA
76    241080200076    Kurnia Manurung               IF-B2    081387581489   ASISTEN LAB
77    241080200077    Lestari Purba                 IF-C2    085693164924   MAHASISWA
78    241080200078    Maulana Damanik               IF-A1    081252885896   ASISTEN LAB
79    241080200079    Nanda Haloho                  IF-B1    082215644639   MAHASISWA
80    241080200080    Oki Sibarani                  IF-C1    085767859355   MAHASISWA

-------------------------------------------------------------------------
 ANGKATAN 2025 (80 Mahasiswa)
-------------------------------------------------------------------------
No.   NIM             Nama Lengkap                  Kelas    No. Telp       Status
-------------------------------------------------------------------------
1     251080200001    Maulana Lubis                 IF-C1    085721116229   MAHASISWA
2     251080200002    Nanda Pangaribuan             IF-A2    089998352411   MAHASISWA
3     251080200003    Oki Siahaan                   IF-B2    081372105888   MAHASISWA
4     251080200004    Pratama Nababan               IF-C2    085674583473   MAHASISWA
5     251080200005    Riza Sinaga                   IF-A1    081245523394   MAHASISWA
6     251080200006    Saputra Silalahi              IF-B1    082283831933   MAHASISWA
7     251080200007    Tri Saragih                   IF-C1    085793385611   ASISTEN LAB
8     251080200008    Wahyu Girsang                 IF-A2    089977487484   MAHASISWA
9     251080200009    Yulia Tambunan                IF-B2    081321681690   MAHASISWA
10    251080200010    Zulfikar Pakpahan             IF-C2    085640985852   MAHASISWA
11    251080200011    Hanif Simatupang              IF-A1    081234199557   MAHASISWA
12    251080200012    Kevin Nugroho                 IF-B1    082240437957   MAHASISWA
13    251080200013    Aldo Ramadhan                 IF-C1    085716658090   MAHASISWA
14    251080200014    Bella Budiman                 IF-A2    089953167420   MAHASISWA
15    251080200015    Daniel Cahyono                IF-B2    081398860700   MAHASISWA
16    251080200016    Elsa Raharjo                  IF-C2    085659968492   MAHASISWA
17    251080200017    Felix Hadi                    IF-A1    081259634256   MAHASISWA
18    251080200018    Grace Hasanah                 IF-B1    082236444459   MAHASISWA
19    251080200019    Hendra Sari                   IF-C1    085788219406   MAHASISWA
20    251080200020    Ivan Fauzi                    IF-A2    089942481291   MAHASISWA
21    251080200021    Jessica Wijaya                IF-B2    081353161420   ASISTEN LAB
22    251080200022    Kenji Siregar                 IF-C2    085655056075   MAHASISWA
23    251080200023    Lisa Harahap                  IF-A1    081256226364   MAHASISWA
24    251080200024    Mario Hutapea                 IF-B1    082213678617   MAHASISWA
25    251080200025    Nadia Panjaitan               IF-C1    085790339385   MAHASISWA
26    251080200026    Oscar Sitorus                 IF-A2    089998844537   MAHASISWA
27    251080200027    Putri Marpaung                IF-B2    081328665097   MAHASISWA
28    251080200028    Randy Ambarita                IF-C2    085637389136   MAHASISWA
29    251080200029    Siska Sipayung                IF-A1    081226315763   MAHASISWA
30    251080200030    Tedy Sumbayak                 IF-B1    082292661288   MAHASISWA
31    251080200031    Ulfa Manik                    IF-C1    085770625137   MAHASISWA
32    251080200032    Vina Silaen                   IF-A2    089928934469   MAHASISWA
33    251080200033    Wendy Sitompul                IF-B2    081324244661   MAHASISWA
34    251080200034    Yanto Pratama                 IF-C2    085616812940   MAHASISWA
35    251080200035    Ahmad Wibowo                  IF-A1    081267642308   MAHASISWA
36    251080200036    Budi Gunawan                  IF-B1    082219509714   MAHASISWA
37    251080200037    Citra Susanto                 IF-C1    085799241227   ASISTEN LAB
38    251080200038    Dwi Utomo                     IF-A2    089972383722   MAHASISWA
39    251080200039    Eko Hartono                   IF-B2    081335582963   MAHASISWA
40    251080200040    Fajar Fitriani                IF-C2    085614341487   MAHASISWA
41    251080200041    Gita Rahmawati                IF-A1    081243721076   MAHASISWA
42    251080200042    Hari Hidayah                  IF-B1    082229260764   MAHASISWA
43    251080200043    Indah Lestari                 IF-C1    085785965037   MAHASISWA
44    251080200044    Joko Kusuma                   IF-A2    089970988940   MAHASISWA
45    251080200045    Kartika Ginting               IF-B2    081398287866   MAHASISWA
46    251080200046    Lukman Tanjung                IF-C2    085628169867   MAHASISWA
47    251080200047    Mega Simanjuntak              IF-A1    081285454102   MAHASISWA
48    251080200048    Nur Situmorang                IF-B1    082265948921   MAHASISWA
49    251080200049    Ony Nainggolan                IF-C1    085737654487   MAHASISWA
50    251080200050    Putu Manurung                 IF-A2    089935138430   MAHASISWA
51    251080200051    Rian Purba                    IF-B2    081335917630   MAHASISWA
52    251080200052    Siti Damanik                  IF-C2    085651508981   MAHASISWA
53    251080200053    Teguh Haloho                  IF-A1    081299130757   MAHASISWA
54    251080200054    Utami Sibarani                IF-B1    082245138449   MAHASISWA
55    251080200055    Vera Sidabutar                IF-C1    085780210901   MAHASISWA
56    251080200056    Wawan Hidayat                 IF-A2    089919968931   MAHASISWA
57    251080200057    Yeni Setiawan                 IF-B2    081317778436   MAHASISWA
58    251080200058    Zainal Saputro                IF-C2    085618607971   MAHASISWA
59    251080200059    Aditya Kurniawan              IF-A1    081234556009   MAHASISWA
60    251080200060    Bayu Prasetyo                 IF-B1    082237582496   MAHASISWA
61    251080200061    Candra Subagyo                IF-C1    085753975830   MAHASISWA
62    251080200062    Diana Wulandari               IF-A2    089996022657   MAHASISWA
63    251080200063    Elga Astuti                   IF-B2    081377415684   MAHASISWA
64    251080200064    Farhan Safitri                IF-C2    085695167096   MAHASISWA
65    251080200065    Guntur Santoso                IF-A1    081229713962   MAHASISWA
66    251080200066    Hesti Saputra                 IF-B1    082213773640   MAHASISWA
67    251080200067    Irma Nasution                 IF-C1    085771644583   MAHASISWA
68    251080200068    Junaedi Lubis                 IF-A2    089999545573   MAHASISWA
69    251080200069    Kurnia Pangaribuan            IF-B2    081319967531   MAHASISWA
70    251080200070    Lestari Siahaan               IF-C2    085637830264   MAHASISWA
71    251080200071    Maulana Nababan               IF-A1    081282008617   MAHASISWA
72    251080200072    Nanda Sinaga                  IF-B1    082260922876   MAHASISWA
73    251080200073    Oki Silalahi                  IF-C1    085728813941   MAHASISWA
74    251080200074    Pratama Saragih               IF-A2    089933314864   ASISTEN LAB
75    251080200075    Riza Girsang                  IF-B2    081353352920   MAHASISWA
76    251080200076    Saputra Tambunan              IF-C2    085624633135   MAHASISWA
77    251080200077    Tri Pakpahan                  IF-A1    081292933288   ASISTEN LAB
78    251080200078    Wahyu Simatupang              IF-B1    082229118785   ASISTEN LAB
79    251080200079    Yulia Nugroho                 IF-C1    085733549919   MAHASISWA
80    251080200080    Zulfikar Ramadhan             IF-A2    089927524730   MAHASISWA

-------------------------------------------------------------------------
 ANGKATAN 2026 (80 Mahasiswa)
-------------------------------------------------------------------------
No.   NIM             Nama Lengkap                  Kelas    No. Telp       Status
-------------------------------------------------------------------------
1     261080200001    Wahyu Marpaung                IF-A2    089979815049   MAHASISWA
2     261080200002    Yulia Ambarita                IF-B2    081316320922   MAHASISWA
3     261080200003    Zulfikar Sipayung             IF-C2    085634398441   MAHASISWA
4     261080200004    Hanif Sumbayak                IF-A1    081232729340   MAHASISWA
5     261080200005    Kevin Manik                   IF-B1    082276267125   MAHASISWA
6     261080200006    Aldo Silaen                   IF-C1    085779989553   MAHASISWA
7     261080200007    Bella Sitompul                IF-A2    089968092118   MAHASISWA
8     261080200008    Daniel Pratama                IF-B2    081387508145   MAHASISWA
9     261080200009    Elsa Wibowo                   IF-C2    085616929019   MAHASISWA
10    261080200010    Felix Gunawan                 IF-A1    081216372991   MAHASISWA
11    261080200011    Grace Susanto                 IF-B1    082285369706   MAHASISWA
12    261080200012    Hendra Utomo                  IF-C1    085760913791   MAHASISWA
13    261080200013    Ivan Hartono                  IF-A2    089984186656   ASISTEN LAB
14    261080200014    Jessica Fitriani              IF-B2    081311758781   MAHASISWA
15    261080200015    Kenji Rahmawati               IF-C2    085666451267   MAHASISWA
16    261080200016    Lisa Hidayah                  IF-A1    081251436779   MAHASISWA
17    261080200017    Mario Lestari                 IF-B1    082211277641   MAHASISWA
18    261080200018    Nadia Kusuma                  IF-C1    085760153832   MAHASISWA
19    261080200019    Oscar Ginting                 IF-A2    089963318550   MAHASISWA
20    261080200020    Putri Tanjung                 IF-B2    081373379383   MAHASISWA
21    261080200021    Randy Simanjuntak             IF-C2    085693656616   MAHASISWA
22    261080200022    Siska Situmorang              IF-A1    081252249245   MAHASISWA
23    261080200023    Tedy Nainggolan               IF-B1    082245824891   MAHASISWA
24    261080200024    Ulfa Manurung                 IF-C1    085732350141   MAHASISWA
25    261080200025    Vina Purba                    IF-A2    089986691527   MAHASISWA
26    261080200026    Wendy Damanik                 IF-B2    081337947241   MAHASISWA
27    261080200027    Yanto Haloho                  IF-C2    085678768988   MAHASISWA
28    261080200028    Ahmad Sibarani                IF-A1    081296079935   MAHASISWA
29    261080200029    Budi Sidabutar                IF-B1    082294905892   MAHASISWA
30    261080200030    Citra Hidayat                 IF-C1    085768056603   MAHASISWA
31    261080200031    Dwi Setiawan                  IF-A2    089965630600   MAHASISWA
32    261080200032    Eko Saputro                   IF-B2    081356553951   MAHASISWA
33    261080200033    Fajar Kurniawan               IF-C2    085655763985   MAHASISWA
34    261080200034    Gita Prasetyo                 IF-A1    081274797582   MAHASISWA
35    261080200035    Hari Subagyo                  IF-B1    082291832273   ASISTEN LAB
36    261080200036    Indah Wulandari               IF-C1    085776211991   MAHASISWA
37    261080200037    Joko Astuti                   IF-A2    089986725839   MAHASISWA
38    261080200038    Kartika Safitri               IF-B2    081351471930   MAHASISWA
39    261080200039    Lukman Santoso                IF-C2    085670399205   MAHASISWA
40    261080200040    Mega Saputra                  IF-A1    081211109360   ASISTEN LAB
41    261080200041    Nur Nasution                  IF-B1    082251864034   MAHASISWA
42    261080200042    Ony Lubis                     IF-C1    085752929678   MAHASISWA
43    261080200043    Putu Pangaribuan              IF-A2    089957157102   MAHASISWA
44    261080200044    Rian Siahaan                  IF-B2    081395418573   MAHASISWA
45    261080200045    Siti Nababan                  IF-C2    085646042516   MAHASISWA
46    261080200046    Teguh Sinaga                  IF-A1    081237880531   ASISTEN LAB
47    261080200047    Utami Silalahi                IF-B1    082289429261   ASISTEN LAB
48    261080200048    Vera Saragih                  IF-C1    085768712107   MAHASISWA
49    261080200049    Wawan Girsang                 IF-A2    089989798932   MAHASISWA
50    261080200050    Yeni Tambunan                 IF-B2    081384455596   MAHASISWA
51    261080200051    Zainal Pakpahan               IF-C2    085649613129   MAHASISWA
52    261080200052    Aditya Simatupang             IF-A1    081256552786   ASISTEN LAB
53    261080200053    Bayu Nugroho                  IF-B1    082213009824   MAHASISWA
54    261080200054    Candra Ramadhan               IF-C1    085781863570   MAHASISWA
55    261080200055    Diana Budiman                 IF-A2    089927556795   MAHASISWA
56    261080200056    Elga Cahyono                  IF-B2    081389580488   MAHASISWA
57    261080200057    Farhan Raharjo                IF-C2    085689472975   MAHASISWA
58    261080200058    Guntur Hadi                   IF-A1    081222585183   MAHASISWA
59    261080200059    Hesti Hasanah                 IF-B1    082231885720   MAHASISWA
60    261080200060    Irma Sari                     IF-C1    085719896761   MAHASISWA
61    261080200061    Junaedi Fauzi                 IF-A2    089982721401   MAHASISWA
62    261080200062    Kurnia Wijaya                 IF-B2    081391754473   MAHASISWA
63    261080200063    Lestari Siregar               IF-C2    085682111982   MAHASISWA
64    261080200064    Maulana Harahap               IF-A1    081237525412   MAHASISWA
65    261080200065    Nanda Hutapea                 IF-B1    082289373553   MAHASISWA
66    261080200066    Oki Panjaitan                 IF-C1    085778861708   ASISTEN LAB
67    261080200067    Pratama Sitorus               IF-A2    089926105464   MAHASISWA
68    261080200068    Riza Marpaung                 IF-B2    081378819047   MAHASISWA
69    261080200069    Saputra Ambarita              IF-C2    085646701154   MAHASISWA
70    261080200070    Tri Sipayung                  IF-A1    081258951624   MAHASISWA
71    261080200071    Wahyu Sumbayak                IF-B1    082248232245   MAHASISWA
72    261080200072    Yulia Manik                   IF-C1    085733248708   MAHASISWA
73    261080200073    Zulfikar Silaen               IF-A2    089986486268   MAHASISWA
74    261080200074    Hanif Sitompul                IF-B2    081376334796   MAHASISWA
75    261080200075    Kevin Pratama                 IF-C2    085664302812   MAHASISWA
76    261080200076    Aldo Wibowo                   IF-A1    081249024331   MAHASISWA
77    261080200077    Bella Gunawan                 IF-B1    082258327467   MAHASISWA
78    261080200078    Daniel Susanto                IF-C1    085744302712   MAHASISWA
79    261080200079    Elsa Utomo                    IF-A2    089969114601   MAHASISWA
80    261080200080    Felix Hartono                 IF-B2    081329835632   MAHASISWA
